Page ID,Page name,Disclaimer,Amount spent (MYR)
103242065392325,Cikgu Aru,Cikgu Aru,≤100
297830887404221,Manong Sejahtera,Manong Sejahtera,≤100
112336401483901,EXCommerce-Live,These ads ran without a disclaimer,≤100
226641550769331,Dilmah Conservation,These ads ran without a disclaimer,≤100
101737126007726,OUSDY,These ads ran without a disclaimer,≤100
425695967637606,Sany Hamzan,AMANAH,≤100
1842657632659388,Baljit Singh,Baljit Singh,≤100
663424353704332,sinarplus,SinarPlus,≤100
554422814647249,Husam Musa,Harapan,≤100
104770629104258,Parlimen Tambun P.063,Muhammad Lokman Hakim Bin Romille,≤100
108722695160066,Haji Mohamed Diah,Atiqah Husna,≤100
100682875880155,Doctor's Voice,Doctor's Voice,≤100
1448737355355645,Amizar Bin Abu Adam,Badrul Hisham,≤100
103117404929533,九鹿小說,These ads ran without a disclaimer,≤100
1723464574592781,Evolusi Hijab,These ads ran without a disclaimer,≤100
103370205276465,Lee Kah Hing,Lee Kah Hing,≤100
131870563493026,OHBULAN!,Rev Media Group,≤100
1875700096018288,Tan Chee Hiong,Tan Chee Hiong,≤100
100419352856507,BN COMMS Kulim / Bandar Baharu,Nuraini Yusoff,≤100
345717225799009,Kelvin Yii Lee Wuen 俞利文,Kelvin Yii Lee Wuen,≤100
167176000648790,BN Comms Indera Mahkota,Ahmad Nizam Abdul Ghani,≤100
103211355844396,Nazari Mokhtar,Nazari Mokhtar,≤100
232346716925403,Majalah Forex Malaysia,MAJALAH FOREX MALAYSIA,≤100
108611071319427,hackathonpolitik,Persatuan Pendidikan Diversiti,≤100
639585376056020,Aiman Athirah Sabu,AMANAH,≤100
101561962774411,Shaun Young 杨茂琥 P114 Kepong,My Kepong,≤100
109792845262508,Zanariyah Abdul Hamid,Widanita Shahnaz Bt Mohd Mokhsin,≤100
106765115432338,Kita Hulu Selangor,ASM Media,≤100
197369864219724,Cikgu Razak Ibrahim,Cikgu Razak Ibrahim,≤100
101153759091764,Monkey Stories Malaysia,These ads ran without a disclaimer,≤100
165772956766692,Idris Ahmad,Idris Ahmad,≤100
109322471986533,Mersing BN,Skuad Penerangan Mersing,≤100
100256272901671,Johan Ropi,Johan Ropi,≤100
1011160672261971,Parti Amanah Negara,OREN TV,≤100
106640884153108,Peduli,These ads ran without a disclaimer,≤100
102780751193893,Threebs.co,Threebs.co,≤100
103591018467323,Mazlan Abd Rahman,Mazlan Abd Rahman,≤100
107564031000716,Nor Azmi Mat Ludin,These ads ran without a disclaimer,≤100
1601785636742847,Muhammad Faiz Fadzil,AMANAH,≤100
1423136211324341,南洋商报 Nanyang Siang Pau,These ads ran without a disclaimer,≤100
112394250233084,虎乳至宝,These ads ran without a disclaimer,≤100
401340596873929,The True Net,Yoke Har Ng,≤100
135643903798815,Onn Hafiz Ghazi,Nur Hani Binti Ra'il,≤100
287402298568365,Dr. Sathia Prakash Nadarajan,These ads ran without a disclaimer,≤100
727311000732682,Parti Amanah Negara Parlimen Larut,AMANAH,≤100
1860176704045973,PAS Kawasan Kuala Kedah,Muhammad Asyraf Bin Anor,≤100
330601991112027,Ulya Husamudin,Ulya Husamudin,≤100
103453738140049,Asia Pacific Investment Bank,Asia Pacific Investment Bank,≤100
107899287659414,Negeri Kita,Negeri Kita,≤100
110077911915218,Shamshulkahar Mohd Deli,Dato Shamshulkahar Mohd Deli,≤100
428782500998481,Cally Ting Zhao Song,Ting Zhao Song,≤100
101779739413941,Hj. Shamsul Ma'arif Ismail,AMANAH,≤100
109978830534400,Dr Dominic Lau Hoe Chai,PGRM,≤100
202914883373859,Manivanan Gowin,G.Manivannan A/L Gowindasamy,≤100
109629544854240,Harun Mohamed,AMANAH,≤100
161765427218260,Coffeeticks,Ng Weng Thiam,≤100
647036338824906,Tan Chee Hiong 陈志雄,Tan Chee Hiong 陈志雄,≤100
107382207626058,R.Yuneswaran,Yuneswaran A/L Ramaraj,≤100
112512589548367,Bersih dan Stabil : BEST,Malaysia Sejahtera,≤100
1729275047356363,Ahmad Dullah,Aliffakhrullah Bin Roslee,≤100
274030749389323,Pusat Khidmat ADUN Selama,Pusat Khidmat ADUN Selama,≤100
103581227696477,KAS Kenyalang,KAS KENYALANG,≤100
466564170033048,Pergerakan Pemuda UMNO Bahagian Sekijang,Mohd Hidayat Bin Mohd Nor,≤100
116228488411898,CIDB Malaysia,Construction Industrial Development Board (CIDB) Malaysia,≤100
243677776430540,丹斯里 李金友 Tan Sri Lee Kim Yew,Golden Horse Digital Investment Bank,≤100
114561353720759,Amir Sabri,Amir Sabri,≤100
106087238701219,"Daftar / Renew Kad Hijau, Lesen CIDB G1-G7",These ads ran without a disclaimer,≤100
426888627377083,Notebook Custom Syifa,Notebook Custom Syifa,≤100
239023542869472,Salahuddin Ayub,AMANAH,≤100
1173992416022994,Wardah Media,Muhamad Fazli Bin Abd Halim,≤100
100805671460411,No.00000,These ads ran without a disclaimer,≤100
759075027496624,Syerleena Abdul Rashid,Syerleena Abdul Rashid,≤100
107201848430984,民兴党Warisan中文版,Cheng Kuan Keet,≤100
110616053654362,Mohamad Ali Mohamad,Mohamad Ali Bin Mohamad,≤100
479984515703584,SIAH Fishery,These ads ran without a disclaimer,≤100
105849378942211,Liputan Malaysia MY,Liputan Malaysia,≤100
680773332004673,Kapten,Mohd Azri Bin Rahamat,≤100
103099938307056,YM Tengku Amir,These ads ran without a disclaimer,≤100
593529354077239,Akmal Nasir,Akmal Nasir,≤100
254995132100881,Lumut Di Parit,Lumut Di Parit,≤100
112512589548367,Bersih dan Stabil : BEST,Muhamad Fazli Bin Abd Halim,≤100
2482822431743416,Info PRU P004 Langkawi,Muhamad Aiman Bin Mohd Nahzeri,≤100
1448737355355645,Amizar Bin Abu Adam,These ads ran without a disclaimer,≤100
515881535150989,Dr Dzulkefly Ahmad,AMANAH,≤100
112089921706008,Ranndy Yap,These ads ran without a disclaimer,≤100
500765600118362,CITYPlus,CITYPlus,≤100
105057232411843,Dr. Zaliha Mustafa,Ubaidillah Harith Shahrin,≤100
560429700762980,PAS SHAH ALAM,These ads ran without a disclaimer,≤100
206671872710060,Rakyat Insight,Rakyat Insight,≤100
103650461352854,Persepsi Tambun,Ewan Shazwan,≤100
407262292721295,Barisan Nasional,Muhammad Faqiruddin Firdaus Bin Mohd Said,≤100
501503336612276,Ismail Sabri PM ke 9 dan ke 10,Aljojil Bin Hamsah,≤100
637104136332122,The Malaysian Reserve,Media Mulia Sdn Bhd,≤100
100857002838982,N11 - Harapan Dun Pulau Tawar,These ads ran without a disclaimer,≤100
130325170489809,Dr Mohd Hatta Ramli,AMANAH,≤100
104770629104258,Parlimen Tambun P.063,Anna Ozaimudi,≤100
768435539896684,TVS,TVS,≤100
104254692334112,Farhan Gopeng,Mohamed Tasryif Bin Omar,≤100
102687825969084,Mohamad Yahaya,AMANAH,≤100
521663081579688,Bahiki Ismail,Bahiki Ismail,≤100
527705097706351,BebasNews,Rare Media Sdn. Bhd.,≤100
155677885272,RFI 华语 - 法国国际广播电台,These ads ran without a disclaimer,≤100
282831539130120,Andre Lai 黎正興,Lai Chen Heng,≤100
100569215711534,Sinar Daily,Sinar Daily,≤100
276342006041537,Dr. Ahmad Termizi Ramli,AMANAH,≤100
230445633883,Jabatan Penerangan Malaysia,Jabatan Penerangan Malaysia,≤100
1585846288355825,Tan Chuan Hong 陈诠峰,Tan Chuan Hong 陈诠峰,≤100
109341278575338,BN COMMS BAGAN DATUK,Barisan Nasional,≤100
113733490027706,Nicole Wong 王晓庭,MCA,≤100
225398407471122,黄日昇,黄日昇,≤100
236402373940290,Syahredzan Johan,Syahredzan Johan,≤100
106671865040410,Keris Mengilau,These ads ran without a disclaimer,≤100
105801292167668,Pembiayaan Peribadi Affin Bank,These ads ran without a disclaimer,≤100
330750857632133,Che'GuBard Original,Ahmad Anwar Asyraf Bin Ismail,≤100
101863121947455,Dazma Shah,Dazma Shah,≤100
1440798055978585,Warisan Anak Malaysia,Parti Warisan Sabah,≤100
1648702528579939,Datuk Haji Ahmad Amzad Hashim,Datuk Haji Amzad Hashim,≤100
102311539122284,Perikatan Nasional Pelangai,These ads ran without a disclaimer,≤100
528696770627084,HurunEin Malaysia,These ads ran without a disclaimer,≤100
457750270999884,Mahfuz Omar,Mahfuz Omar,≤100
101439082646437,邱培栋,kotamelaka.com,≤100
102621122630588,Nor Azmiza Mamat,Parti Keadilan Rakyat,≤100
683300121730939,Cikgu Huda,AMANAH,≤100
